
Name,Equipment,Body Part,Description,Video_Link
Push-Up,Bodyweight,"Chest, arms, core","Start in a plank position with hands under shoulders, lower your body until elbows reach about 90 degrees while keeping the body straight, then push back uphttps://www.health.harvard.edu/blog/rise-push-ups-classic-exercise-can-motivate-get-stronger-2019021810165#:~:text=To%20maximize%20what%20push,you%20should%20perform%20them%20correctly.",https://www.youtube.com/results?search_query=push+up+exercise+how+to
Incline Push-Up,Bodyweight,"Chest, shoulders, arms","Place your hands on an elevated surface (like a bench), keep a straight line from head to heels, lower chest to the surface and push back up.",https://www.youtube.com/results?search_query=incline+push+up+exercise+how+to
Decline Push-Up,Bodyweight,"Chest, shoulders, triceps","Place your feet on an elevated surface, hands on the floor under shoulders; lower chest toward the floor and press back up while keeping body straight.",https://www.youtube.com/results?search_query=decline+push+up+exercise+how+to
Diamond Push-Up,Bodyweight,"Triceps, chest, shoulders","From a plank, position your hands together under your chest with thumbs and index fingers forming a diamond; lower your body and push back up.",https://www.youtube.com/results?search_query=diamond+push+up+exercise+how+to
Wide Grip Push-Up,Bodyweight,"Chest, shoulders",Perform a push-up with hands placed wider than shoulder-width apart to emphasise the chest; keep body straight and avoid flaring elbows excessively.,https://www.youtube.com/results?search_query=wide+grip+push+up+exercise+how+to
Dumbbell Bench Press,Dumbbells,"Chest, triceps, shoulders","Sit with dumbbells on your thighs, then lie back on a bench and position weights at the sides of your chest; press the dumbbells up until arms are extended and lower back to chest level.",https://www.youtube.com/results?search_query=dumbbell+bench+press+exercise+how+to
Incline Dumbbell Bench Press,Dumbbells,"Upper chest, shoulders",Lie back on an incline bench with dumbbells at chest level; press them up until arms are extended over your shoulders and slowly lower.,https://www.youtube.com/results?search_query=incline+dumbbell+bench+press+exercise+how+to
Decline Dumbbell Bench Press,Dumbbells,"Lower chest, triceps","Lie back on a decline bench holding dumbbells; press them upward and inward, then lower toward the sides of your chest in a controlled motion.",https://www.youtube.com/results?search_query=decline+dumbbell+bench+press+exercise+how+to
Barbell Bench Press,Barbell,"Chest, triceps, shoulders","Lie on a bench with feet flat, grip the bar slightly wider than shoulder width, lower it to your chest while controlling the descent, then press it back up to arm’s length.",https://www.youtube.com/results?search_query=barbell+bench+press+exercise+how+to
Dumbbell Fly,Dumbbells,Chest,"Lie on a bench holding dumbbells above your chest with arms slightly bent; open arms wide in an arc until you feel a stretch in the chest, then bring weights back together.",https://www.youtube.com/results?search_query=dumbbell+fly+exercise+how+to
Cable Fly,Cable machine,Chest,"Stand between two cable stacks with arms extended and slight elbow bend; bring the handles together in front of your chest using a hugging motion, then return.",https://www.youtube.com/results?search_query=cable+fly+exercise+how+to
Chest Press Machine,Machine,"Chest, triceps","Sit on a chest press machine with handles at chest height; press handles forward until arms are extended, then return slowly.",https://www.youtube.com/results?search_query=chest+press+machine+exercise+how+to
Pull-Up,Pull-up bar,"Back, biceps","Hang from a bar with an overhand grip slightly wider than shoulder width; pull yourself up until your chin clears the bar, then lower with control.",https://www.youtube.com/results?search_query=pull+up+exercise+how+to
Chin-Up,Pull-up bar,"Back, biceps",Hang from a bar with a supinated (underhand) grip about shoulder width; pull your chest toward the bar and lower back down slowly.,https://www.youtube.com/results?search_query=chin+up+exercise+how+to
Lat Pulldown,Cable machine,"Back, biceps","Sit at a cable lat pulldown station holding the bar with a wide overhand grip; draw the bar down to your upper chest while squeezing your back, then return slowlyhttps://www.jefit.com/exercises/86/cable-lat-pulldown-wide-grip#:~:text=The%20wide,back%20to%20the%20starting%20position.",https://www.youtube.com/results?search_query=lat+pulldown+exercise+how+to
Barbell Bent-Over Row,Barbell,"Back, biceps","Stand with knees slightly bent, hinge at the hips keeping a flat back, hold the barbell with an overhand grip, pull it toward your lower ribs, then lower.",https://www.youtube.com/results?search_query=barbell+bent+over+row+exercise+how+to
One-Arm Dumbbell Row,Dumbbell,"Back, biceps","Place one knee and hand on a bench, hold a dumbbell in the other hand, keep back flat, row the weight toward your hip, then lower.",https://www.youtube.com/results?search_query=dumbbell+row+exercise+how+to
T-Bar Row,Barbell/T-bar,"Back, biceps","Straddle a landmine or T-bar attachment, bend at the hips with a neutral spine, grasp handles, pull the bar to your chest and lower.",https://www.youtube.com/results?search_query=t+bar+row+exercise+how+to
Seated Cable Row,Cable machine,"Back, biceps","Sit at a cable row machine with knees slightly bent; grab the handle, pull it toward your torso while keeping your back straight, then extend arms.",https://www.youtube.com/results?search_query=seated+cable+row+exercise+how+to
Inverted Row,Bar,"Back, biceps, core","Position a bar at hip height, hang underneath with a straight body, pull chest to the bar and lower yourself back to straight arms.",https://www.youtube.com/results?search_query=inverted+row+exercise+how+to
Superman,Bodyweight,"Lower back, glutes","Lie face down with arms and legs extended; simultaneously lift arms, chest and legs off the floor, hold briefly, then lower.",https://www.youtube.com/results?search_query=superman+exercise+how+to
Back Extension,Hyperextension bench,Lower back,"Lie face down on a hyperextension bench with feet secured; bend at the waist to lower torso, then contract your back to raise back to neutral.",https://www.youtube.com/results?search_query=back+extension+exercise+how+to
Reverse Fly,Dumbbells,"Rear delts, upper back","Bend at the hips with a flat back, hold dumbbells under shoulders; raise arms out to sides until they reach shoulder height, then lower.",https://www.youtube.com/results?search_query=reverse+fly+exercise+how+to
Good Morning,Barbell,"Lower back, hamstrings","Place a barbell on your upper back, stand with feet shoulder-width, hinge at hips with a slight knee bend while keeping back flat, then return upright.",https://www.youtube.com/results?search_query=good+morning+exercise+how+to
Deadlift,Barbell,"Back, legs, glutes","With feet hip-width apart, hinge at hips and knees to grasp the bar on the floor; lift by driving through the heels and extending hips and knees, then lower with control.",https://www.youtube.com/results?search_query=deadlift+exercise+how+to
Romanian Deadlift,Barbell,"Hamstrings, glutes, lower back","Hold the bar at hip level, hinge at the hips with slight knee bend lowering the bar along the thighs until you feel a stretch in hamstrings, then return to standing.",https://www.youtube.com/results?search_query=romanian+deadlift+exercise+how+to
Stiff-Leg Deadlift,Barbell,"Hamstrings, lower back","Start with bar at hip height; with knees nearly straight, hinge forward and lower the bar towards the feet while keeping back flat, then rise back up.",https://www.youtube.com/results?search_query=stiff+leg+deadlift+exercise+how+to
Dumbbell Shoulder Press,Dumbbells,"Shoulders, triceps","Stand or sit with dumbbells at shoulder level; press the weights overhead, pause briefly, then lower them back to shouldershttps://www.verywellfit.com/how-to-do-the-dumbbell-overhead-press-3498298#:~:text=Stand%20upright%20and%20keep%20the,inside%20and%20knuckles%20face%20up.",https://www.youtube.com/results?search_query=dumbbell+shoulder+press+exercise+how+to
Arnold Press,Dumbbells,"Shoulders, triceps","Start seated with dumbbells held in front of shoulders, palms facing body; as you press up, rotate palms to face forward; reverse motion when lowering.",https://www.youtube.com/results?search_query=arnold+press+exercise+how+to
Barbell Overhead Press,Barbell,"Shoulders, triceps","Stand with barbell at shoulder level using overhand grip; press it overhead until arms are extended, then lower to shoulders.",https://www.youtube.com/results?search_query=barbell+overhead+press+exercise+how+to
Lateral Raise,Dumbbells,Shoulders,"Stand with arms at sides holding dumbbells; raise arms out to the sides until they reach shoulder height, maintaining a slight bend in elbows, then lower.",https://www.youtube.com/results?search_query=lateral+raise+exercise+how+to
Front Raise,Dumbbells,Shoulders,"Holding dumbbells at your thighs, raise arms straight in front to shoulder height, keeping elbows slightly bent, then lower.",https://www.youtube.com/results?search_query=front+raise+exercise+how+to
Rear Delt Fly,Dumbbells,"Rear shoulders, upper back","Lean forward with back flat, lift dumbbells out to the side until elbows are at shoulder height, then return.",https://www.youtube.com/results?search_query=rear+delt+fly+exercise+how+to
Upright Row,Barbell or dumbbells,"Shoulders, traps","Hold a barbell or dumbbells in front of thighs; pull them up along your body toward your chest with elbows leading high, then lower.",https://www.youtube.com/results?search_query=upright+row+exercise+how+to
Shrug,Dumbbells or barbell,Traps,"Stand holding weights at your sides; lift your shoulders toward your ears, pause, then lower back down.",https://www.youtube.com/results?search_query=shrug+exercise+how+to
Face Pull,Cable machine,"Rear shoulders, upper back","Attach a rope to a high pulley; pull the rope toward your face keeping elbows high and squeezing rear delts, then extend arms.",https://www.youtube.com/results?search_query=face+pull+exercise+how+to
Push Press,Barbell or dumbbells,"Shoulders, legs","Dip at the knees slightly and explosively press the weight overhead, using leg drive; lower back under control.",https://www.youtube.com/results?search_query=push+press+exercise+how+to
Bicep Curl,Dumbbells,Biceps,"Stand with dumbbells at your sides, palms facing forward; curl the weights up toward your shoulders while keeping elbows stationary, then lower.",https://www.youtube.com/results?search_query=dumbbell+bicep+curl+exercise+how+to
Hammer Curl,Dumbbells,"Biceps, forearms","Hold dumbbells with palms facing in (neutral grip); curl weights up while keeping elbows close to your body, then lower.",https://www.youtube.com/results?search_query=hammer+curl+exercise+how+to
Concentration Curl,Dumbbell,Biceps,"Sit and brace your upper arm against your inner thigh; curl a dumbbell up toward your shoulder, then lower.",https://www.youtube.com/results?search_query=concentration+curl+exercise+how+to
Barbell Curl,Barbell,Biceps,"Stand holding a barbell with an underhand grip; curl it toward your shoulders while keeping elbows still, then lower.",https://www.youtube.com/results?search_query=barbell+curl+exercise+how+to
Preacher Curl,Preacher bench and barbell/dumbbell,Biceps,"Sit at a preacher bench with arms over the pad; curl the weight up toward your shoulders, then lower under control.",https://www.youtube.com/results?search_query=preacher+curl+exercise+how+to
Cable Curl,Cable machine,Biceps,"Attach a straight bar to a low cable; curl the bar toward your shoulders while keeping elbows by your sides, then lower.",https://www.youtube.com/results?search_query=cable+curl+exercise+how+to
Tricep Dip,Parallel bars,Triceps,"Grip parallel bars with arms straight and body upright; lower yourself by bending elbows until they reach roughly 90 degrees, then press back up.",https://www.youtube.com/results?search_query=tricep+dip+exercise+how+to
Bench Dip,Bench,Triceps,"Place hands on a bench behind you, extend legs forward; lower your hips by bending elbows, then push back up.",https://www.youtube.com/results?search_query=bench+dip+exercise+how+to
Tricep Pushdown,Cable machine,Triceps,"Attach a rope or bar to a high cable; keeping elbows at your sides, extend your arms to push the attachment down, then return.",https://www.youtube.com/results?search_query=tricep+pushdown+exercise+how+to
Overhead Tricep Extension,Dumbbell,Triceps,"Hold a dumbbell with both hands overhead, lower it behind your head by bending elbows, then extend arms to raise it back up.",https://www.youtube.com/results?search_query=overhead+tricep+extension+exercise+how+to
Skull Crusher,Barbell or EZ-bar,Triceps,"Lie on a bench with arms extended holding a bar above your chest; bend elbows to lower the bar toward your forehead, then extend to the starting position.",https://www.youtube.com/results?search_query=skull+crusher+exercise+how+to
Tricep Kickback,Dumbbell,Triceps,"Hinge at the hips with a flat back, hold dumbbell with elbow bent; extend your arm behind you until straight, then return.",https://www.youtube.com/results?search_query=tricep+kickback+exercise+how+to
Air Squat,Bodyweight,"Quads, glutes, hamstrings","Stand with feet shoulder-width apart, engage core and send hips back as if sitting in a chair; lower until thighs are parallel or lower, then push through heels to standfile:///home/oai/redirect.html#:~:text=1.%20Stand%20with%20feet%20shoulder,return%20to%20a%20standing%20position.",https://www.youtube.com/results?search_query=air+squat+exercise+how+to
Back Squat,Barbell,"Quads, glutes, hamstrings","Rest the barbell on your upper back, stand with feet slightly wider than shoulder width; squat by bending knees and hips while keeping your torso upright, then drive through heels to standhttps://www.verywellfit.com/safe-squat-technique-3119136#:~:text=1,three%20sets%20of%20six%20to.",https://www.youtube.com/results?search_query=back+squat+exercise+how+to
Front Squat,Barbell,"Quads, core","Hold the barbell on the front of your shoulders (front rack), keep elbows high; squat down with an upright torso and stand back up.",https://www.youtube.com/results?search_query=front+squat+exercise+how+to
Goblet Squat,Dumbbell or kettlebell,"Quads, glutes, core","Hold a dumbbell or kettlebell close to your chest with both hands; squat down by sitting back and keeping chest up, then press through heels to stand.",https://www.youtube.com/results?search_query=goblet+squat+exercise+how+to
Sumo Squat,Bodyweight or dumbbell,"Inner thighs, glutes","Stand with feet wider than shoulder-width and toes turned out; squat down keeping knees aligned with toes and back straight, then return to standing.",https://www.youtube.com/results?search_query=sumo+squat+exercise+how+to
Split Squat,Bodyweight or dumbbells,"Quads, glutes","Stand with one foot forward and one foot back; lower your body by bending both knees until the back knee nearly touches the floor, then press back up.",https://www.youtube.com/results?search_query=split+squat+exercise+how+to
Bulgarian Split Squat,Dumbbell or bodyweight,"Quads, glutes, hamstrings","Place your rear foot on a bench behind you; lower your body by bending the front knee until the back knee nearly touches the floor, then rise back up.",https://www.youtube.com/results?search_query=bulgarian+split+squat+exercise+how+to
Lunge,Bodyweight or dumbbells,"Quads, glutes, hamstrings","From standing, step forward into a split stance and lower until your back knee is close to the floor and front thigh is parallel, then push through the front heel to returnhttps://www.verywellfit.com/how-to-lunge-variations-modifications-and-mistakes-1231320#:~:text=Stand%20in%20a%20split%20stance,are%20resting%20on%20your%20hips.",https://www.youtube.com/results?search_query=lunge+exercise+how+to
Reverse Lunge,Bodyweight or dumbbells,"Quads, glutes","Step backward with one foot, lower your body until both knees are bent at 90 degrees, then return to standing.",https://www.youtube.com/results?search_query=reverse+lunge+exercise+how+to
Side Lunge,Bodyweight or dumbbells,"Glutes, inner thighs","Take a wide step to the side and bend the stepping knee while pushing your hips back; keep the opposite leg straight, then return to standing.",https://www.youtube.com/results?search_query=side+lunge+exercise+how+to
Walking Lunge,Bodyweight or dumbbells,"Quads, glutes, hamstrings","Perform consecutive forward lunges by stepping forward with each stride, lowering and rising before stepping into the next lunge.",https://www.youtube.com/results?search_query=walking+lunge+exercise+how+to
Step-Up,"Bench or box, optional dumbbells","Quads, glutes","Stand in front of a bench or box; place one foot on the platform and press through that leg to step up, then step down and repeat on the other side.",https://www.youtube.com/results?search_query=step+up+exercise+how+to
Pistol Squat,Bodyweight,"Quads, glutes, core","Stand on one leg, extend the other leg forward; squat down on the working leg keeping the extended leg off the ground, then stand back up.",https://www.youtube.com/results?search_query=pistol+squat+exercise+how+to
Leg Press,Leg press machine,"Quads, glutes","Sit on a leg press machine with feet on the platform; release the safety, lower the sled until knees are about 90 degrees, then press through your feet to return.",https://www.youtube.com/results?search_query=leg+press+exercise+how+to
Leg Extension,Machine,Quads,"Sit on a leg extension machine with shins under the pad; extend your knees to lift the weight, then lower slowly.",https://www.youtube.com/results?search_query=leg+extension+exercise+how+to
Leg Curl,Machine,Hamstrings,"Lie face down on a leg curl machine with the pad behind your ankles; curl your legs toward your glutes, then lower the weight back down.",https://www.youtube.com/results?search_query=leg+curl+exercise+how+to
Calf Raise (Standing),Bodyweight or machine,Calves,"Stand with the balls of your feet on an elevated surface; rise up onto your toes to lift your heels, pause, then lower back down.",https://www.youtube.com/results?search_query=standing+calf+raise+exercise+how+to
Calf Raise (Seated),Machine,Calves,"Sit with a weight pad over your knees and the balls of your feet on a platform; raise your heels as high as possible, then lower.",https://www.youtube.com/results?search_query=seated+calf+raise+exercise+how+to
Glute Bridge,Bodyweight or barbell,"Glutes, hamstrings","Lie on your back with knees bent and feet on the floor; lift your hips by squeezing glutes until body forms a straight line from shoulders to knees, then lower.",https://www.youtube.com/results?search_query=glute+bridge+exercise+how+to
Hip Thrust,Barbell or bodyweight,"Glutes, hamstrings","Place your upper back on a bench with knees bent and feet planted; rest a barbell across your hips, thrust hips upward by squeezing glutes, then lower.",https://www.youtube.com/results?search_query=hip+thrust+exercise+how+to
Hip Abduction (Side-Lying),Bodyweight or resistance band,"Glutes, hip abductors","Lie on your side with legs straight; lift the top leg upward while keeping it straight, pause, then lower.",https://www.youtube.com/results?search_query=hip+abduction+exercise+how+to
Hip Adduction,Bodyweight or machine,Inner thighs,Lie on your side or sit on an adduction machine; bring your lower leg upward or squeeze pads together to engage the inner thighs.,https://www.youtube.com/results?search_query=hip+adduction+exercise+how+to
Box Jump,Box or platform,"Legs, glutes","Stand in front of a box; jump explosively onto the box landing softly with both feet, then step back down.",https://www.youtube.com/results?search_query=box+jump+exercise+how+to
Jump Squat,Bodyweight,"Legs, glutes, cardio","Perform a squat and then explosively jump upward, landing softly and transitioning into the next rep.",https://www.youtube.com/results?search_query=jump+squat+exercise+how+to
Split Jump,Bodyweight,"Legs, glutes, cardio","Start in a lunge position, jump up and switch legs midair to land in a lunge with the opposite leg forward.",https://www.youtube.com/results?search_query=split+jump+exercise+how+to
Kettlebell Swing,Kettlebell,"Glutes, hamstrings, back",Stand with feet shoulder-width apart holding a kettlebell; hinge at the hips to swing the kettlebell back between your legs and then drive hips forward to swing it to chest height.,https://www.youtube.com/results?search_query=kettlebell+swing+exercise+how+to
Kettlebell Goblet Squat,Kettlebell,"Quads, glutes, core","Hold a kettlebell by the horns at chest level; squat down while keeping the chest up and elbows inside the knees, then drive back up.",https://www.youtube.com/results?search_query=kettlebell+goblet+squat+exercise+how+to
Crunch,Bodyweight,Abdominals,"Lie on your back with knees bent and hands behind head; lift your head and shoulders toward your knees by engaging your abs, then lower down.",https://www.youtube.com/results?search_query=crunch+exercise+how+to
Sit-Up,Bodyweight,Abdominals,Lie on your back with knees bent and feet anchored; curl your torso up toward your thighs and then return to the starting position.,https://www.youtube.com/results?search_query=sit+up+exercise+how+to
Reverse Crunch,Bodyweight,Lower abdominals,"Lie on your back with knees bent at 90 degrees; use your lower abs to curl your hips off the floor toward your chest, then lower slowly.",https://www.youtube.com/results?search_query=reverse+crunch+exercise+how+to
Bicycle Crunch,Bodyweight,"Obliques, abdominals",Lie on your back and lift shoulders and knees; alternate bringing opposite elbow to knee while extending the other leg in a pedaling motion.,https://www.youtube.com/results?search_query=bicycle+crunch+exercise+how+to
Russian Twist,Bodyweight or medicine ball,"Obliques, abdominals",Sit with knees bent and lean back slightly; hold hands or weight in front of chest and rotate torso from side to side.,https://www.youtube.com/results?search_query=russian+twist+exercise+how+to
Leg Raise,Bodyweight,Lower abdominals,"Lie on your back with legs straight; lift your legs up until they are perpendicular to the floor, then lower them without touching the ground.",https://www.youtube.com/results?search_query=leg+raise+exercise+how+to
Flutter Kicks,Bodyweight,"Lower abdominals, hip flexors","Lie on your back with legs extended slightly off the floor; kick your legs up and down alternately in a quick, controlled motion.",https://www.youtube.com/results?search_query=flutter+kicks+exercise+how+to
Mountain Climbers,Bodyweight,"Core, cardio",Start in a plank position; alternate driving knees toward your chest in a running motion while maintaining plank alignment.,https://www.youtube.com/results?search_query=mountain+climbers+exercise+how+to
Plank,Bodyweight,"Core, shoulders","Hold your body in a straight line from head to heels, supported on forearms and toes; engage your core and avoid dropping hips.",https://www.youtube.com/results?search_query=plank+exercise+how+to
Side Plank,Bodyweight,"Obliques, shoulders","Lie on your side and prop yourself up on one forearm with legs stacked; lift hips to create a straight line and hold, then switch sides.",https://www.youtube.com/results?search_query=side+plank+exercise+how+to
Bird Dog,Bodyweight,"Core, glutes, back","On hands and knees, extend opposite arm and leg while keeping hips and shoulders squared; return and repeat on the other side.",https://www.youtube.com/results?search_query=bird+dog+exercise+how+to
Dead Bug,Bodyweight,Core,"Lie on your back with arms extended above shoulders and knees bent; lower one arm and the opposite leg toward the floor while keeping back flat, then return and alternate.",https://www.youtube.com/results?search_query=dead+bug+exercise+how+to
V-Up,Bodyweight,Abdominals,"Lie flat with arms extended overhead; simultaneously lift your legs and upper body, reaching hands toward your toes to form a V shape, then lower.",https://www.youtube.com/results?search_query=v+up+exercise+how+to
Hollow Hold,Bodyweight,Core,Lie on your back with arms overhead and legs extended; lift arms and legs slightly off the ground while pressing your lower back into the floor and hold.,https://www.youtube.com/results?search_query=hollow+hold+exercise+how+to
